hyponym,hypo-definition,hypernym,hyper-definition
rigid,"""designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure""",structural,"""relating to or caused by structure, especially political or economic structure"""
rigid,"""designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure""",solid,"""characterized by good substantial quality"""
rigid,"""designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure""",firm,"""marked by firm determination or resolution; not shakable"""
rising,"""advancing or becoming higher or greater in degree or value or status""",progressive,"""favoring or promoting progress"""
rising,"""advancing or becoming higher or greater in degree or value or status""",developing,"""relating to societies in which capital needed to industrialize is in short supply"""
rival,"""as a rival in a competition""",antagonistic,"""indicating opposition or resistance"""
romantic,"""belonging to or characteristic of Romanticism or the Romantic Movement in the arts""",expressive,"""performing gestures or possessing qualities or features that suggest a certain state of being or emotion"""
romantic,"""belonging to or characteristic of Romanticism or the Romantic Movement in the arts""",aesthetic,"""relating to or dealing with the subject of aesthetics"""
rotten,"""very bad""",awful,"""exceptionally bad or displeasing"""
rotten,"""damaged by decay; hence unsound and useless""",damaged,"""harmed or injured or spoiled"""
rotten,"""damaged by decay; hence unsound and useless""",degraded,"""unrestrained by convention or morality"""
round,"""having the shape or form of a circle""",shaped,"""shaped to fit by or as if by altering the contours of a pliable mass (as by work or effort)"""
round,"""having the shape or form of a circle""",geometric,"""characterized by simple geometric forms in design and decoration"""
royal,"""of or relating to or indicative of or issued or performed by a king or queen or other monarch""",official,"""having official authority or sanction"""
royal,"""of or relating to or indicative of or issued or performed by a king or queen or other monarch""",governmental,"""relating to or dealing with the affairs or structure of government or politics or the state"""
royal,"""of or relating to or indicative of or issued or performed by a king or queen or other monarch""",monarchical,"""having the characteristics of or befitting or worthy of a monarch"""
rubber,"""returned for lack of funds""",unpaid,"""not paid"""
ruling,"""exercising power or authority""",powerful,"""having great power or force or potency or effect"""
rural,"""of or relating to the countryside as opposed to the city""",regional,"""characteristic of a region"""
seasonal,"""occurring at or dependent on a particular season""",recurring,"""happen or occur again"""
secondary,"""being of second rank or importance or value; not direct or immediate""",indirect,"""having intervening factors or persons or influences"""
secondary,"""being of second rank or importance or value; not direct or immediate""",inferior,"""of or characteristic of low rank or importance"""
secure,"""free from fear or doubt; easy in mind""",assured,"""marked by assurance; exhibiting confidence"""
select,"""of superior grade""",good,"""having desirable or positive qualities especially those suitable for a thing specified"""
select,"""of superior grade""",fine,"""being satisfactory or in satisfactory condition"""
selective,"""tending to select; characterized by careful choice""",discriminating,"""showing or indicating careful judgment and discernment especially in matters of taste"""
selective,"""tending to select; characterized by careful choice""",careful,"""exercising caution or showing care or attention"""
semantic,"""of or relating to meaning or the study of meaning""",conceptual,"""being or characterized by concepts or their formation"""
senior,"""older; higher in rank; longer in length of tenure or service""",advanced,"""farther along in physical or mental development"""
senior,"""older; higher in rank; longer in length of tenure or service""",superior,"""the largest freshwater lake in the world; the deepest of the Great Lakes"""
sensible,"""showing reason or sound judgment""",logical,"""capable of or reflecting the capability for correct and valid reasoning"""
sensible,"""showing reason or sound judgment""",sound,"""financially secure and safe"""
sensitive,"""responsive to physical stimuli""",perceptive,"""of or relating to perception"""
separate,"""independent; not united or joint""",independent,"""free from external control and constraint"""
shallow,"""lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center""",superficial,"""concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually"""
shallow,"""lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center""",flat,"""having a surface without slope, tilt in which no part is higher or lower than another"""
shallow,"""acking depth of intellect or knowledge; concerned only with what is obvious""",elementary,"""easy and not involved or complicated"""
shallow,"""acking depth of intellect or knowledge; concerned only with what is obvious""",superficial,"""concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually"""
shallow,"""acking depth of intellect or knowledge; concerned only with what is obvious""",basic,"""a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use"""
shared,"""have in common; held or experienced in common""",collective,"""done by or characteristic of individuals acting together"""
shared,"""have in common; held or experienced in common""",mutual,"""common to or shared by two or more parties"""
sharp,"""keenly and painfully felt; as if caused by a sharp edge or point""",intense,"""possessing or displaying a distinctive feature to a heightened degree"""
sheer,"""complete and without restriction or qualification; sometimes used informally as intensifiers""",complete,"""having every necessary or normal part or component or step"""
shocked,"""struck with fear, dread, or consternation""",frightened,"""made afraid"""
short,"""primarily temporal sense; indicating or being or seeming to be limited in duration""",transient,"""of a mental act; causing effects outside the mind"""
short,"""primarily temporal sense; indicating or being or seeming to be limited in duration""",finite,"""bounded or limited in magnitude or spatial or temporal extent"""
short,"""primarily temporal sense; indicating or being or seeming to be limited in duration""",temporary,"""not permanent; not lasting"""
short,"""(primarily spatial sense) having little length or lacking in length""",brief,"""of short duration or distance"""
short,"""(primarily spatial sense) having little length or lacking in length""",compact,"""closely and firmly united or packed together"""
short-term,"""relating to or extending over a limited period""",finite,"""bounded or limited in magnitude or spatial or temporal extent"""
short-term,"""relating to or extending over a limited period""",transient,"""of a mental act; causing effects outside the mind"""
sick,"""affected by an impairment of normal physical or mental function""",infirm,"""lacking bodily or muscular strength or vitality"""
sick,"""affected by an impairment of normal physical or mental function""",unhealthy,"""not in or exhibiting good health in body or mind"""
sick,"""affected by an impairment of normal physical or mental function""",impaired,"""diminished in strength, quality, or utility"""
silent,"""marked by absence of sound""",peaceful,"""not disturbed by strife or turmoil or war"""
silent,"""marked by absence of sound""",noiseless,"""making no sound"""
silver,"""made from or largely consisting of silver""",lustrous,"""made smooth and bright by or as if by rubbing; reflecting a sheen or glow"""
similar,"""marked by correspondence or resemblance""",akin,"""similar in quality or character"""
similar,"""marked by correspondence or resemblance""",related,"""being connected either logically or causally or by shared characteristics"""
similar,"""marked by correspondence or resemblance""",corresponding,"""accompanying"""
similar,"""marked by correspondence or resemblance""",analogous,"""similar or equivalent in some respects though otherwise dissimilar"""
single,"""being or characteristic of a single thing or person""",unique,"""radically distinctive and without equal"""
single,"""not married or related to the unmarried state""",independent,"""free from external control and constraint"""
single,"""not married or related to the unmarried state""",free,"""not limited or hampered; not under compulsion or restraint"""
slight,"""(quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with ‘a’) at least some""",minor,"""of lesser importance or stature or rank"""
slim,"""being of delicate or slender build""",narrow,"""not wide"""
slippery,"""causing or tending to cause things to slip or slide""",treacherous,"""dangerously unstable and unpredictable"""
slippery,"""causing or tending to cause things to slip or slide""",smooth,"""having a surface free from roughness or bumps or ridges or irregularities"""
slow,"""not moving quickly; taking a comparatively long time""",leisurely,"""not hurried or forced"""
small,"""limited or below average in number or quantity or magnitude or extent""",insufficient,"""of a quantity not able to fulfill a need or requirement"""
social,"""relating to human society and its members""",collective,"""done by or characteristic of individuals acting together"""
social,"""relating to human society and its members""",human,"""characteristic of humanity"""
social,"""relating to human society and its members""",public,"""not private; open to or concerning the people as a whole"""
sociological,"""of or relating to or determined by sociology""",academic,"""associated with academia or an academy"""
solar,"""relating to or derived from the sun or utilizing the energies of the sun""",astral,"""being or relating to or resembling or emanating from stars"""
solar,"""relating to or derived from the sun or utilizing the energies of the sun""",cosmic,"""of or from or pertaining to or characteristic of the cosmos or universe"""
solar,"""relating to or derived from the sun or utilizing the energies of the sun""",stellar,"""indicating the most important performer or role"""
solar,"""relating to or derived from the sun or utilizing the energies of the sun""",radiant,"""radiating or as if radiating light"""
solar,"""relating to or derived from the sun or utilizing the energies of the sun""",natural,"""in accordance with nature; relating to or concerning nature"""
sole,"""not divided or shared with others""",single,"""being or characteristic of a single thing or person"""
sole,"""not divided or shared with others""",unique,"""radically distinctive and without equal"""
solid,"""of definite shape and volume; firm; neither liquid nor gaseous""",physical,"""involving the body as distinguished from the mind or spirit"""
solid,"""of definite shape and volume; firm; neither liquid nor gaseous""",material,"""concerned with worldly rather than spiritual interests"""
sorry,"""feeling or expressing regret or sorrow or a sense of loss over something done or undone""",unhappy,"""experiencing or marked by or causing sadness or sorrow or discontent"""
sound,"""financially secure and safe""",safe,"""free from danger or the risk of harm"""
sour,"""having a sharp biting taste""",pungent,"""strong and sharp"""
sour,"""having a sharp biting taste""",bitter,"""marked by strong resentment or cynicism"""
sour,"""having a sharp biting taste""",sharp,"""(of something seen or heard) clearly defined"""
southern,"""in or characteristic of a region of the United States south of (approximately) the Mason-Dixon line""",geographic,"""of or relating to the science of geography"""
spare,"""thin and fit""",thin,"""of relatively small extent from one surface to the opposite or in cross section"""
spare,"""thin and fit""",fit,"""meeting adequate standards for a purpose"""
special,"""unique or specific to a person or thing or category""",specific,"""(sometimes followed by ‘to’) applying to or characterized by or distinguishing something particular or special or unique"""
special,"""unique or specific to a person or thing or category""",exclusive,"""not divided or shared with others"""
special,"""unique or specific to a person or thing or category""",individual,"""being or characteristic of a single thing or person"""
specified,"""clearly and explicitly stated""",definite,"""precise; explicit and clearly defined"""
specified,"""clearly and explicitly stated""",defined,"""clearly characterized or delimited"""
specified,"""clearly and explicitly stated""",stated,"""declared as fact; explicitly stated"""
specified,"""clearly and explicitly stated""",clear,"""readily apparent to the mind"""
splendid,"""having great beauty and splendor""",grand,"""of behavior that is impressive and ambitious in scale or scope"""
spoken,"""uttered through the medium of speech or characterized by speech; sometimes used in combination""",communicative,"""of or relating to communication"""
spoken,"""uttered through the medium of speech or characterized by speech; sometimes used in combination""",vocal,"""relating to or designed for or using the singing voice"""
spontaneous,"""happening or arising without apparent external cause""",automatic,"""operating with minimal human intervention; independent of external control"""
spontaneous,"""happening or arising without apparent external cause""",unplanned,"""without apparent forethought or prompting or planning"""
square,"""having four equal sides and four right angles or forming a right angle""",rectangular,"""having four right angles"""
square,"""having four equal sides and four right angles or forming a right angle""",regular,"""in accordance with fixed order or procedure or principle"""
stable,"""resistant to change of position or condition""",secure,"""free from fear or doubt; easy in mind"""
stable,"""resistant to change of position or condition""",constant,"""unvarying in nature"""
standard,"""conforming to or constituting a standard of measurement or value; or of the usual or regularized or accepted kind""",conventional,"""following accepted customs and proprieties"""
static,"""concerned with or producing or caused by static electricity""",electric,"""using or providing or producing or transmitting or operated by electricity"""
statistical,"""of or relating to statistics""",numerical,"""measured or expressed in numbers"""
statutory,"""relating to or created by statutes""",regulatory,"""restricting according to rules or principles"""
steady,"""not subject to change or variation especially in behavior""",reliable,"""worthy of reliance or trust"""
sterling,"""highest in quality""",outstanding,"""distinguished from others in excellence"""
still,"""used of pictures; of a single or static photograph not presented so as to create the illusion of motion; or representing objects not capable of motion""",immobile,"""not capable of movement or of being moved"""
still,"""used of pictures; of a single or static photograph not presented so as to create the illusion of motion; or representing objects not capable of motion""",fixed,"""(of a number) having a fixed and unchanging value"""
stolen,"""take without the owner's consent""",illicit,"""contrary to accepted morality (especially sexual morality) or convention"""
stolen,"""take without the owner's consent""",unlawful,"""not conforming to legality, moral law, or social convention"""
straight,"""characterized by honesty and fairness""",ethical,"""of or relating to the philosophical study of ethics"""
straight,"""characterized by honesty and fairness""",honest,"""not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth"""
straight,"""characterized by honesty and fairness""",upright,"""in a vertical position; not sloping"""
straight,"""having no deviations""",uniform,"""always the same; showing a single form or character in all occurrences"""
straight,"""having no deviations""",regular,"""in accordance with fixed order or procedure or principle"""
strategic,"""relating to or concerned with strategy""",calculated,"""carefully thought out in advance"""
strategic,"""relating to or concerned with strategy""",tactical,"""of or pertaining to tactic or tactics"""
strict,"""characterized by strictness, severity, or restraint""",demanding,"""requiring more than usually expected or thought due; especially great patience and effort and skill"""
strict,"""characterized by strictness, severity, or restraint""",disciplined,"""obeying the rules"""
striking,"""sensational in appearance or thrilling in effect""",noticeable,"""capable or worthy of being noticed"""
strong,"""being distilled rather than fermented; having a high alcoholic content""",alcoholic,"""characteristic of or containing alcohol"""
strong,"""strong and sure""",powerful,"""having great power or force or potency or effect"""
strong,"""strong and sure""",robust,"""sturdy and strong in form, constitution, or construction"""
strong,"""having strength or power greater than average or expected""",vigorous,"""characterized by forceful and energetic action or activity"""
strong,"""having strength or power greater than average or expected""",mighty,"""having or showing great strength or force or intensity"""
strong,"""immune to attack; incapable of being tampered with""",invulnerable,"""immune to attack; impregnable"""
strong,"""immune to attack; incapable of being tampered with""",resistant,"""relating to or conferring immunity (to disease or infection)"""
structural,"""relating to or caused by structure, especially political or economic structure""",systemic,"""affecting an entire system"""
structural,"""relating to or caused by structure, especially political or economic structure""",organizational,"""of or relating to an organization"""
stubborn,"""tenaciously unwilling or marked by tenacious unwillingness to yield""",determined,"""characterized by great determination"""
stunning,"""make senseless or dizzy by or as if by a blow""",dizzying,"""nan"""
stunning,"""make senseless or dizzy by or as if by a blow""",disorienting,"""causing loss of physical or intellectual bearings"""
subject,"""possibly accepting or permitting""",tolerant,"""showing respect for the rights or opinions or practices of others"""
subjective,"""taking place within the mind and modified by individual bias""",individual,"""being or characteristic of a single thing or person"""
subjective,"""taking place within the mind and modified by individual bias""",cognitive,"""of or being or relating to or involving cognition"""
subsequent,"""following in time or order""",following,"""about to be mentioned or specified"""
substantial,"""having substance or capable of being treated as fact; not imaginary""",actual,"""presently existing in fact and not merely potential or possible"""
substantial,"""having substance or capable of being treated as fact; not imaginary""",valid,"""well grounded in logic or truth or having legal force"""
subtle,"""difficult to detect or grasp by the mind or analyze""",delicate,"""exquisitely fine and subtle and pleasing; susceptible to injury"""
subtle,"""difficult to detect or grasp by the mind or analyze""",indistinct,"""not clearly defined or easy to perceive or understand"""
successful,"""having succeeded or being marked by a favorable outcome""",productive,"""producing or capable of producing (especially abundantly)"""
successful,"""having succeeded or being marked by a favorable outcome""",effective,"""producing or capable of producing an intended result or having a striking effect"""
sufficient,"""of a quantity that can fulfill a need or requirement but without being abundant""",satisfactory,"""giving satisfaction"""
super,"""of the highest quality""",great,"""relatively large in size or number or extent; larger than others of its kind"""
super,"""of the highest quality""",prime,"""first in rank or degree"""
superb,"""of surpassing excellence""",fine,"""being satisfactory or in satisfactory condition"""
superb,"""of surpassing excellence""",superior,"""the largest freshwater lake in the world; the deepest of the Great Lakes"""
superior,"""of high or superior quality or performance""",high-quality,"""nan"""
supplementary,"""functioning in a supporting capacity""",supporting,"""furnishing support and encouragement"""
supplementary,"""functioning in a supporting capacity""",additional,"""further or added"""
supplementary,"""functioning in a supporting capacity""",secondary,"""being of second rank or importance or value; not direct or immediate"""
supporting,"""furnishing support and encouragement""",constructive,"""constructing or tending to construct or improve or promote development"""
supporting,"""furnishing support and encouragement""",beneficial,"""promoting or enhancing well-being"""
supreme,"""final or last in your life or progress""",terminal,"""of or relating to or situated at the ends of a delivery route"""
sure,"""having or feeling no doubt or uncertainty; confident and assured""",positive,"""characterized by or displaying affirmation or acceptance or certainty etc."""
surplus,"""more than is needed, desired, or required""",excessive,"""beyond normal limits"""
surprised,"""taken unawares or suddenly and feeling wonder or astonishment""",astonished,"""filled with the emotional impact of overwhelming surprise or shock"""
surprised,"""taken unawares or suddenly and feeling wonder or astonishment""",emotional,"""determined or actuated by emotion rather than reason"""
surrounding,"""closely encircling""",enclosing,"""the act of enclosing something inside something else"""
suspicious,"""openly distrustful and unwilling to confide""",skeptical,"""denying or questioning the tenets of especially a religion"""
symbolic,"""relating to or using or proceeding by means of symbols""",conceptual,"""being or characterized by concepts or their formation"""
sympathetic,"""of or relating to the sympathetic nervous system""",nervous,"""easily agitated"""
sympathetic,"""of or relating to the sympathetic nervous system""",autonomic,"""relating to or controlled by the autonomic nervous system"""
syntactic,"""of or relating to or conforming to the rules of syntax""",formal,"""being in accord with established forms and conventions and requirements (as e.g. of formal dress)"""
syntactic,"""of or relating to or conforming to the rules of syntax""",structural,"""relating to or caused by structure, especially political or economic structure"""
systematic,"""characterized by order and planning""",methodical,"""characterized by method and orderliness"""
talented,"""endowed with talent or talents""",capable,"""(usually followed by ‘of’) having capacity or ability"""
talented,"""endowed with talent or talents""",proficient,"""having or showing knowledge and skill and aptitude"""
tall,"""great in vertical dimension; high in stature""",high,"""greater than normal in quantity or amount"""
tall,"""great in vertical dimension; high in stature""",vertical,"""at right angles to the plane of the horizon or a base line"""
tall,"""great in vertical dimension; high in stature""",big,"""above average in size or number or quantity or magnitude or extent"""
tasty,"""pleasing to the sense of taste""",palatable,"""acceptable to the taste or mind"""
tasty,"""pleasing to the sense of taste""",delicious,"""variety of sweet eating apples"""
tasty,"""pleasing to the sense of taste""",appetizing,"""appealing to or stimulating the appetite especially in appearance or aroma"""
technical,"""of or relating to technique or proficiency in a practical skill""",specialized,"""developed or designed for a special activity or function"""
technical,"""of or relating to technique or proficiency in a practical skill""",skilled,"""having or showing or requiring special skill"""
technological,"""of or relating to a practical subject that is organized according to scientific principles""",applied,"""concerned with concrete problems or data rather than with fundamental principles"""
temporary,"""not permanent; not lasting""",provisional,"""under terms not final or fully worked out or agreed upon"""
temporary,"""not permanent; not lasting""",transient,"""of a mental act; causing effects outside the mind"""
tense,"""taut or rigid; stretched tight""",rigid,"""incapable of or resistant to bending"""
terminal,"""of or relating to or situated at the ends of a delivery route""",ultimate,"""furthest or highest in degree or order; utmost or extreme"""
territorial,"""of or relating to a territory""",political,"""involving or characteristic of politics or parties or politicians"""
territorial,"""of or relating to a territory""",local,"""relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area"""
territorial,"""of or relating to a territory""",spatial,"""pertaining to or involving or having the nature of space"""
theoretical,"""concerned primarily with theories or hypotheses rather than practical considerations""",hypothetical,"""based primarily on surmise rather than adequate evidence"""
thick,"""not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions""",broad,"""having great (or a certain) extent from one side to the other"""
thick,"""not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions""",substantial,"""of considerable importance, size, or worth"""
thick,"""relatively dense in consistency""",substantial,"""of considerable importance, size, or worth"""
thick,"""relatively dense in consistency""",viscous,"""having a relatively high resistance to flow"""
thick,"""relatively dense in consistency""",heavy,"""of comparatively great physical weight or density"""
thorough,"""painstakingly careful and accurate""",precise,"""sharply exact or accurate or delimited"""
thorough,"""painstakingly careful and accurate""",meticulous,"""marked by precise accordance with details"""
thoughtful,"""exhibiting or characterized by careful thought""",considerate,"""showing concern for the rights and feelings of others"""
thoughtful,"""exhibiting or characterized by careful thought""",cautious,"""showing careful forethought"""
thoughtful,"""exhibiting or characterized by careful thought""",mindful,"""bearing in mind; attentive to"""
thoughtful,"""exhibiting or characterized by careful thought""",reflective,"""deeply or seriously thoughtful"""
thoughtful,"""exhibiting or characterized by careful thought""",careful,"""exercising caution or showing care or attention"""
tight,"""closely constrained or constricted or constricting""",constrained,"""lacking spontaneity; not natural"""
tight,"""closely constrained or constricted or constricting""",restricted,"""subject to restriction or subjected to restriction"""
tight,"""closely constrained or constricted or constricting""",restrictive,"""serving to restrict"""
tired,"""depleted of strength or energy""",spent,"""use up a period of time in a specific way"""
tolerant,"""showing respect for the rights or opinions or practices of others""",understanding,"""characterized by understanding based on comprehension and discernment and empathy"""
tolerant,"""showing respect for the rights or opinions or practices of others""",respectful,"""full of or exhibiting respect"""
top,"""situated at the top or highest position""",high,"""greater than normal in quantity or amount"""
top,"""situated at the top or highest position""",elevated,"""raised above the ground"""
total,"""constituting the full quantity or extent; complete""",absolute,"""perfect or complete or pure"""
tough,"""not given to gentleness or sentimentality""",firm,"""marked by firm determination or resolution; not shakable"""
tough,"""unfortunate or hard to bear""",harsh,"""unpleasantly stern"""
toxic,"""of or relating to or caused by a toxin or poison""",deleterious,"""harmful to living things"""
trading,"""buying or selling securities or commodities""",investment,"""the act of investing; laying out money or capital in an enterprise with the expectation of profit"""
tragic,"""of or relating to or characteristic of tragedy""",sad,"""experiencing or showing sorrow or unhappiness"""
trained,"""shaped or conditioned or disciplined by training; often used as a combining form""",conditioned,"""established by conditioning or learning"""
trained,"""shaped or conditioned or disciplined by training; often used as a combining form""",experienced,"""having experience; having knowledge or skill from observation or participation"""
tremendous,"""extraordinarily large in size or extent or amount or power or degree""",great,"""relatively large in size or number or extent; larger than others of its kind"""
tropical,"""of or relating to the tropics, or either tropic""",climatic,"""of or relating to a climate"""
true,"""consistent with fact or reality; not false""",factual,"""existing in act or fact"""
typical,"""exhibiting the qualities or characteristics that identify a group or kind or category""",general,"""applying to all or most members of a category or group"""
typical,"""exhibiting the qualities or characteristics that identify a group or kind or category""",generic,"""relating to or common to or descriptive of all members of a genus"""
typical,"""exhibiting the qualities or characteristics that identify a group or kind or category""",representative,"""serving to represent or typify"""
ugly,"""displeasing to the senses""",unattractive,"""lacking beauty or charm"""
ultimate,"""furthest or highest in degree or order; utmost or extreme""",final,"""occurring at or forming an end or termination"""
ultimate,"""furthest or highest in degree or order; utmost or extreme""",supreme,"""final or last in your life or progress"""
ultimate,"""furthest or highest in degree or order; utmost or extreme""",highest,"""nan"""
unable,"""(usually followed by ‘to’) not having the necessary means or skill or know-how""",incompetent,"""legally not qualified or sufficient"""
unable,"""(usually followed by ‘to’) not having the necessary means or skill or know-how""",deficient,"""inadequate in amount or degree"""
unable,"""(usually followed by ‘to’) not having the necessary means or skill or know-how""",inept,"""not elegant or graceful in expression"""
unacceptable,"""not acceptable; not welcome""",bad,"""having undesirable or negative qualities"""
unacceptable,"""not acceptable; not welcome""",unpleasant,"""offensive or disagreeable; causing discomfort or unhappiness"""
unacceptable,"""not acceptable; not welcome""",negative,"""characterized by or displaying negation or denial or opposition or resistance; having no positive features"""
unanimous,"""in complete agreement""",harmonious,"""musically pleasing"""
unanimous,"""in complete agreement""",collective,"""done by or characteristic of individuals acting together"""
unaware,"""(often followed by ‘of’) not aware""",oblivious,"""(followed by ‘to’ or ‘of’) lacking conscious awareness of"""
uncertain,"""lacking or indicating lack of confidence or assurance""",vague,"""not clearly expressed or understood"""
uncertain,"""lacking or indicating lack of confidence or assurance""",ambiguous,"""open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead"""
uncertain,"""lacking or indicating lack of confidence or assurance""",insecure,"""not firm or firmly fixed; likely to fail or give way"""
unclear,"""poorly stated or described""",confused,"""perplexed by many conflicting situations or statements; filled with bewilderment"""
unclear,"""poorly stated or described""",indistinct,"""not clearly defined or easy to perceive or understand"""
unclear,"""poorly stated or described""",imprecise,"""not precise"""
uncomfortable,"""conducive to or feeling mental discomfort""",negative,"""characterized by or displaying negation or denial or opposition or resistance; having no positive features"""
unconscious,"""not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead""",asleep,"""in a state of sleep"""
underground,"""under the level of the ground""",subsurface,"""beneath the surface"""
underground,"""under the level of the ground""",subterranean,"""being or operating under the surface of the earth"""
underlying,"""be or form the base for""",essential,"""absolutely necessary; vitally necessary"""
understandable,"""capable of being apprehended or understood""",clear,"""readily apparent to the mind"""
uneasy,"""lacking a sense of security or affording no ease or reassurance""",apprehensive,"""quick to understand"""
uneasy,"""lacking a sense of security or affording no ease or reassurance""",disturbed,"""having the place or position changed"""
unemployed,"""not engaged in a gainful occupation""",inactive,"""(chemistry) not participating in a chemical reaction; chemically inert"""
unemployed,"""not engaged in a gainful occupation""",jobless,"""not having a job"""
unfamiliar,"""not known or well known""",novel,"""original and of a kind not seen before"""
unfamiliar,"""not known or well known""",foreign,"""of concern to or concerning the affairs of other nations (other than your own)"""
unfamiliar,"""not known or well known""",strange,"""being definitely out of the ordinary and unexpected; slightly odd or even a bit weird"""
unfortunate,"""not favored by fortune; marked or accompanied by or resulting in ill fortune""",bad,"""having undesirable or negative qualities"""
unfortunate,"""not favored by fortune; marked or accompanied by or resulting in ill fortune""",negative,"""characterized by or displaying negation or denial or opposition or resistance; having no positive features"""
unhappy,"""experiencing or marked by or causing sadness or sorrow or discontent""",sad,"""experiencing or showing sorrow or unhappiness"""
unhappy,"""experiencing or marked by or causing sadness or sorrow or discontent""",negative,"""characterized by or displaying negation or denial or opposition or resistance; having no positive features"""
uniform,"""always the same; showing a single form or character in all occurrences""",identical,"""exactly alike; incapable of being perceived as different"""
uniform,"""always the same; showing a single form or character in all occurrences""",steady,"""not subject to change or variation especially in behavior"""
united,"""characterized by unity; being or joined into a single entity""",collective,"""done by or characteristic of individuals acting together"""
united,"""characterized by unity; being or joined into a single entity""",single,"""being or characteristic of a single thing or person"""
universal,"""of worldwide scope or applicability""",extensive,"""large in spatial extent or range or scope or quantity"""
unlike,"""marked by dissimilarity""",dissimilar,"""not similar"""
unnecessary,"""not necessary""",extraneous,"""not pertinent to the matter under consideration"""
unnecessary,"""not necessary""",superfluous,"""serving no useful purpose; having no excuse for being"""
unprecedented,"""having no precedent; novel; never seen before""",exceptional,"""far beyond what is usual in magnitude or degree"""
unreasonable,"""not reasonable; not showing good judgment""",irrational,"""not consistent with or using reason"""
unreasonable,"""not reasonable; not showing good judgment""",illogical,"""lacking in correct logical relation"""
unsuccessful,"""not successful; having failed or having an unfavorable outcome""",negative,"""characterized by or displaying negation or denial or opposition or resistance; having no positive features"""
unsuccessful,"""not successful; having failed or having an unfavorable outcome""",poor,"""deserving or inciting pity"""
unsuccessful,"""not successful; having failed or having an unfavorable outcome""",unproductive,"""not producing or capable of producing"""
unusual,"""not usual or common or ordinary""",different,"""unlike in nature or quality or form or degree"""
unusual,"""not usual or common or ordinary""",atypical,"""not representative of a group, class, or type"""
unusual,"""not usual or common or ordinary""",abnormal,"""not normal; not typical or usual or regular or conforming to a norm"""
unusual,"""not usual or common or ordinary""",remarkable,"""unusual or striking"""
unusual,"""not usual or common or ordinary""",exceptional,"""far beyond what is usual in magnitude or degree"""
unwilling,"""not disposed to and refusing to do something""",reluctant,"""unwillingness to do something contrary to your custom"""
unwilling,"""not disposed to and refusing to do something""",opposed,"""being in opposition or having an opponent"""
unwilling,"""not disposed to and refusing to do something""",negative,"""characterized by or displaying negation or denial or opposition or resistance; having no positive features"""
up-to-date,"""reflecting the latest information or changes""",contemporary,"""characteristic of the present"""
up-to-date,"""reflecting the latest information or changes""",recent,"""approximately the last 10,000 years"""
urgent,"""compelling immediate action""",necessary,"""absolutely essential"""
useful,"""being of use or service""",valuable,"""having great material or monetary value especially for use or exchange"""
useful,"""being of use or service""",practical,"""concerned with actual use or practice"""
vacant,"""without an occupant or incumbent""",available,"""obtainable or accessible and ready for use or service"""
vague,"""not precisely limited, determined, or distinguished""",indefinite,"""vague or not clearly defined or stated"""
vague,"""not precisely limited, determined, or distinguished""",indistinct,"""not clearly defined or easy to perceive or understand"""
vain,"""characteristic of false pride; having an exaggerated sense of self-importance""",self-centered,"""concerned chiefly or only with yourself and your advantage to the exclusion of others"""
valid,"""well grounded in logic or truth or having legal force""",logical,"""capable of or reflecting the capability for correct and valid reasoning"""
valuable,"""having great material or monetary value especially for use or exchange""",beneficial,"""promoting or enhancing well-being"""
various,"""of many different kinds purposefully arranged but lacking any uniformity""",multiple,"""having or involving or consisting of more than one part or entity or individual"""
various,"""of many different kinds purposefully arranged but lacking any uniformity""",heterogeneous,"""consisting of elements that are not of the same kind or nature"""
varying,"""marked by diversity or difference""",different,"""unlike in nature or quality or form or degree"""
vast,"""unusually great in size or amount or degree or especially extent or scope""",extensive,"""large in spatial extent or range or scope or quantity"""
vast,"""unusually great in size or amount or degree or especially extent or scope""",great,"""relatively large in size or number or extent; larger than others of its kind"""
vast,"""unusually great in size or amount or degree or especially extent or scope""",big,"""above average in size or number or quantity or magnitude or extent"""
vicious,"""(of persons or their actions) able or disposed to inflict pain or suffering""",harmful,"""causing or capable of causing harm"""
vigorous,"""characterized by forceful and energetic action or activity""",dynamic,"""characterized by action or forcefulness or force of personality"""
virtual,"""being actually such in almost every respect""",actual,"""presently existing in fact and not merely potential or possible"""
virtual,"""being actually such in almost every respect""",real,"""being or occurring in fact or actuality; having verified existence; not illusory"""
visible,"""capable of being seen; or open to easy view""",noticeable,"""capable or worthy of being noticed"""
