hyponym,hypo-definition,hypernym
international,concerning or belonging to all or at least two or more nations,universal
intimate,"marked by close acquaintance, association, or familiarity",personal
intimate,"marked by close acquaintance, association, or familiarity",acquainted
invaluable,"having incalculable monetary, intellectual, or spiritual worth",precious
invisible,impossible or nearly impossible to see; imperceptible by the eye,obscure
involved,connected by participation or association or use,engaged
irrespective,in spite of everything; without regard to drawbacks,unconcerned
irrespective,in spite of everything; without regard to drawbacks,indifferent
isolated,not close together in time,remote
isolated,not close together in time,spaced
isolated,not close together in time,distant
jealous,showing extreme cupidity; painfully desirous of another's advantages,resentful
joint,united or combined,integrated
junior,younger; lower in rank; shorter in length of tenure or service,subordinate
just,used especially of what is legally or ethically right or proper or fitting,rightful
just,used especially of what is legally or ethically right or proper or fitting,moral
just,used especially of what is legally or ethically right or proper or fitting,ethical
justified,having words so spaced that lines have straight even margins,even
keen,having or demonstrating ability to recognize or draw fine distinctions,observant
key,United States lawyer and poet who wrote a poem after witnessing the British attack on Baltimore during the War of 1812; the poem was later set to music and entitled ‘The Star-Spangled Banner’ (1779-1843),patriotic
kind,having or showing a tender and considerate and helpful nature; used especially of persons and their behavior,humane
known,apprehended with certainty,clear
known,apprehended with certainty,definite
lacking,inadequate in amount or degree,limited
large,above average in size or number or quantity or magnitude or extent,ample
large-scale,unusually large in scope,significant
large-scale,unusually large in scope,vast
large-scale,unusually large in scope,substantial
last,coming after all others in time or space or degree or being the only one remaining,remaining
last,coming after all others in time or space or degree or being the only one remaining,ultimate
late,being or occurring at an advanced period of time or after a usual or expected time,temporal
late,being or occurring at an advanced period of time or after a usual or expected time,subsequent
latest,up to the immediate present; most recent or most up-to-date,modern
latin,of or relating to the ancient Latins or the Latin language,historical
latin,of or relating to the ancient Latins or the Latin language,european
latin,of or relating to the ancient Latins or the Latin language,cultural
lay,characteristic of those who are not members of the clergy,civil
lay,characteristic of those who are not members of the clergy,worldly
lazy,moving slowly and gently,inactive
lazy,moving slowly and gently,sluggish
leading,going or proceeding or going in advance; showing the way,foremost
left,being or located on or directed toward the side of the body to the west when facing north,relative
legal,established by or founded upon law or official or accepted rules,valid
legal,established by or founded upon law or official or accepted rules,lawful
legitimate,of marriages and offspring; recognized as lawful,authorized
legitimate,of marriages and offspring; recognized as lawful,legal
level,"having a surface without slope, tilt in which no part is higher or lower than another",smooth
lexical,of or relating to words,communicative
light,of comparatively little physical weight or density,weightless
light,(used of color) having a relatively small amount of coloring agent,soft
light,characterized by or emitting light,luminous
likely,has a good chance of being the case or of coming about,expected
likely,has a good chance of being the case or of coming about,probable
limited,small in range or scope,finite
linear,designating or involving an equation whose terms are of the first degree,analytic
linear,designating or involving an equation whose terms are of the first degree,polynomial
linear,designating or involving an equation whose terms are of the first degree,mathematical
linguistic,consisting of or related to language,cultural
liquid,existing as or having characteristics of a liquid; especially tending to flow,wet
liquid,existing as or having characteristics of a liquid; especially tending to flow,mobile
literary,of or relating to or characteristic of literature,creative
little,limited or below average in number or quantity or magnitude or extent,minor
little,limited or below average in number or quantity or magnitude or extent,limited
little,limited or below average in number or quantity or magnitude or extent,insufficient
live,actually being performed at the time of hearing or viewing,ongoing
live,actually being performed at the time of hearing or viewing,real-time
lively,full of life and energy,vibrant
lively,full of life and energy,dynamic
living,pertaining to living persons,biological
living,pertaining to living persons,animate
local,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,civic
local,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,administrative
long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,durable
long,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,great
long-term,relating to or extending over a relatively long time,lasting
long-term,relating to or extending over a relatively long time,enduring
loose,not compact or dense in structure or arrangement,spacious
loose,not compact or dense in structure or arrangement,diffuse
lost,no longer in your possession or control; unable to be found or recovered,gone
loud,characterized by or producing sound of great volume or intensity,sonorous
loud,characterized by or producing sound of great volume or intensity,noisy
low,less than normal in degree or intensity or amount,reduced
loyal,steadfast in allegiance or duty,steadfast
loyal,steadfast in allegiance or duty,committed
lucky,having or bringing good fortune,blessed
lucky,having or bringing good fortune,auspicious
luxury,something that is an indulgence rather than a necessity,indulgent
luxury,something that is an indulgence rather than a necessity,expensive
luxury,something that is an indulgence rather than a necessity,premium
luxury,something that is an indulgence rather than a necessity,opulent
mad,roused to anger,annoyed
mad,roused to anger,irritated
magical,possessing or using or characteristic of or appropriate to supernatural powers,extraordinary
magnetic,of or relating to or caused by magnetism,natural
magnetic,of or relating to or caused by magnetism,electromagnetic
magnificent,characterized by grandeur,remarkable
major,of greater importance or stature or rank,notable
male,being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation,reproductive
male,being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation,sexual
mandatory,required by rule,essential
mandatory,required by rule,obligatory
manual,of or relating to the hands,bodily
manual,of or relating to the hands,tactile
marginal,at or constituting a border or edge,boundary
marginal,at or constituting a border or edge,outer
marginal,at or constituting a border or edge,external
marginal,at or constituting a border or edge,bordering
marked,having or as if having an identifying mark or a mark as specified; often used in combination,identifiable
marked,having or as if having an identifying mark or a mark as specified; often used in combination,identified
marked,having or as if having an identifying mark or a mark as specified; often used in combination,characteristic
marked,having or as if having an identifying mark or a mark as specified; often used in combination,notable
marked,having or as if having an identifying mark or a mark as specified; often used in combination,noticeable
married,joined in matrimony,committed
married,joined in matrimony,joined
married,joined in matrimony,attached
married,joined in matrimony,connected
mass,(Roman Catholic Church and Protestant Churches) the celebration of the Eucharist,sacred
mathematical,of or pertaining to or of the nature of mathematics,theoretical
mathematical,of or pertaining to or of the nature of mathematics,abstract
mathematical,of or pertaining to or of the nature of mathematics,logical
mature,having reached full natural growth or development,full
mature,having reached full natural growth or development,complete
maximum,the greatest or most complete or best possible,superlative
maximum,the greatest or most complete or best possible,ultimate
maximum,the greatest or most complete or best possible,highest
meaningful,having a meaning or purpose,valuable
mechanical,using (or as if using) mechanisms or tools or devices,technological
medical,relating to the study or practice of medicine,professional
medieval,relating to or belonging to the Middle Ages,old
metropolitan,relating to or characteristic of a metropolis,civic
mid,used in combination to denote the middle,average
mid,used in combination to denote the middle,median
middle,of a stage in the development of a language or literature between earlier and later stages,developmental
middle-class,occupying a socioeconomic position intermediate between those of the lower classes and the wealthy,socioeconomic
mild,moderate in type or degree or effect or force; far from extreme,temperate
military,of or relating to the study of the principles of warfare,strategic
minimal,the least possible,little
minimal,the least possible,limited
minimum,the least possible,low
ministerial,of or relating to a minister of religion or the minister's office,clerical
ministerial,of or relating to a minister of religion or the minister's office,spiritual
ministerial,of or relating to a minister of religion or the minister's office,sacred
minor,of lesser importance or stature or rank,lesser
misleading,designed to deceive or mislead either deliberately or inadvertently,false
missing,not able to be found,unavailable
missing,not able to be found,gone
mixed,consisting of a haphazard assortment of different kinds,varied
mobile,moving or capable of moving readily (especially from place to place),portable
mobile,moving or capable of moving readily (especially from place to place),kinetic
mobile,moving or capable of moving readily (especially from place to place),dynamic
mobile,moving or capable of moving readily (especially from place to place),locomotive
modern,belonging to the modern era; since the Middle Ages,historical
modest,marked by simplicity; having a humble opinion of yourself,unassuming
monetary,relating to or involving money,commercial
monstrous,hockingly brutal or cruel,terrible
monstrous,distorted and unnatural in shape or size; abnormal and hideous,abnormal
monstrous,distorted and unnatural in shape or size; abnormal and hideous,hideous
monstrous,distorted and unnatural in shape or size; abnormal and hideous,unnatural
moral,concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles,good
moral,concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles,virtuous
moving,in motion,mobile
multiple,having or involving or consisting of more than one part or entity or individual,many
multiple,having or involving or consisting of more than one part or entity or individual,various
municipal,relating or belonging to or characteristic of a municipality,governmental
musical,characterized by or capable of producing music,artistic
musical,characterized by or capable of producing music,creative
musical,characterized by or capable of producing music,expressive
musical,characterized by or capable of producing music,sonorous
musical,characterized by or capable of producing music,aesthetic
mutual,concerning each of two or more persons or things; especially given or done in return,bilateral
mutual,concerning each of two or more persons or things; especially given or done in return,collective
mysterious,of an obscure nature,ambiguous
mysterious,of an obscure nature,confusing
mysterious,of an obscure nature,unknown
mysterious,of an obscure nature,unclear
naked,having no clothes on the body,undressed
narrow,not wide,small
narrow,not wide,constrained
narrow,lacking tolerance or flexibility or breadth of view,limited
narrow,lacking tolerance or flexibility or breadth of view,uncompromising
narrow,lacking tolerance or flexibility or breadth of view,intolerant
narrow,lacking tolerance or flexibility or breadth of view,inflexible
nasty,offensive or even (of persons) malicious,offensive
national,of or relating to or belonging to a nation or country,civic
national,of or relating to or belonging to a nation or country,regional
national,of or relating to or belonging to a nation or country,political
national,of or relating to or belonging to a nation or country,domestic
natural,in accordance with nature; relating to or concerning nature,inherent
neat,clean or organized,tidy
necessary,absolutely essential,critical
nervous,of or relating to the nervous system,physical
neutral,possessing no distinctive quality or characteristics,plain
neutral,possessing no distinctive quality or characteristics,impartial
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,current
new,(often followed by ‘to’) unfamiliar,recent
nice,pleasant or pleasing or agreeable in nature or appearance,positive
noble,of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times,distinguished
noble,of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times,elite
noisy,full of or characterized by loud and nonmusical sounds,sonorous
noisy,full of or characterized by loud and nonmusical sounds,audible
noisy,full of or characterized by loud and nonmusical sounds,boisterous
nominal,relating to or constituting or bearing or giving a name,descriptive
normal,conforming with or constituting a norm or standard or level or type or social norm; not abnormal,conventional
northern,in or characteristic of a region of the United States north of (approximately) the Mason-Dixon line,geographic
noticeable,capable or worthy of being noticed,perceptible
noticeable,capable or worthy of being noticed,observable
noticeable,capable or worthy of being noticed,discernible
novel,original and of a kind not seen before,unique
novel,original and of a kind not seen before,distinct
novel,original and of a kind not seen before,original
nuclear,(weapons) deriving destructive energy from the release of atomic energy,powerful
nuclear,(weapons) deriving destructive energy from the release of atomic energy,explosive
numerous,amounting to a large indefinite number,multiple
objective,undistorted by emotion or personal bias; based on observable phenomena,factual
objective,undistorted by emotion or personal bias; based on observable phenomena,rational
occasional,occurring from time to time,intermittent
occasional,occurring from time to time,sporadic
occasional,occurring from time to time,irregular
occupational,of or relating to the activity or business for which you are trained,vocational
odd,not divisible by two,mathematical
odd,not divisible by two,numerical
offensive,for the purpose of attack rather than defense,belligerent
official,having official authority or sanction,formal
okay,being satisfactory or in satisfactory condition,decent
old,(used especially of persons) having lived for a relatively long time or attained a specific age,senior
only,being the only one; single and isolated from others,singular
only,being the only one; single and isolated from others,isolated
only,being the only one; single and isolated from others,single
open,open and observable; not secret or hidden,apparent
open,open and observable; not secret or hidden,public
operational,pertaining to a process or series of actions for achieving a result,effective
optical,of or relating to or involving light or optics,sensory
optimistic,expecting the best in this best of all possible worlds,cheerful
optional,possible but not necessary; left to personal choice,permissible
optional,possible but not necessary; left to personal choice,elective
oral,of or relating to or affecting or for use in the mouth,physical
oral,of or relating to or affecting or for use in the mouth,anatomical
orange,a river in South Africa that flows generally westward to the Atlantic Ocean,fluvial
organic,relating or belonging to the class of chemical compounds having a carbon basis,molecular
organisational,of or relating to an organization,administrative
organisational,of or relating to an organization,institutional
organisational,of or relating to an organization,systemic
organizational,of or relating to an organization,functional
organizational,of or relating to an organization,collective
organizational,of or relating to an organization,social
organizational,of or relating to an organization,systemic
original,being or productive of something fresh and unusual; or being as first made or thought of,novel
original,being or productive of something fresh and unusual; or being as first made or thought of,new
orthodox,of or pertaining to or characteristic of Judaism,traditional
other,"not the same one or ones already mentioned or implied; quantifier, other",alternate
outside,relating to or being on or near the outer side or limit,outer
outstanding,distinguished from others in excellence,remarkable
overall,involving only main features,comprehensive
paid,marked by the reception of pay,earning
paid,marked by the reception of pay,financial
painful,causing physical or psychological pain,negative
papal,proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles,clerical
parallel,being everywhere equidistant and not intersecting,linear
parallel,being everywhere equidistant and not intersecting,geometric
parental,designating the generation of organisms from which hybrid offspring are produced,hereditary
parental,designating the generation of organisms from which hybrid offspring are produced,reproductive
parental,designating the generation of organisms from which hybrid offspring are produced,biological
parental,designating the generation of organisms from which hybrid offspring are produced,genetic
parliamentary,relating to or having the nature of a parliament,civic
part-time,involving less than the standard or customary time for an activity,occasional
partial,constituting or comprising a part or fraction of a possible whole or entirety,fragmentary
partial,constituting or comprising a part or fraction of a possible whole or entirety,limited
particular,unique or specific to a person or thing or category,exclusive
passive,lacking in energy or will,indolent
patient,enduring trying circumstances with even temper or characterized by such endurance,enduring
patient,enduring trying circumstances with even temper or characterized by such endurance,forbearing
payable,subject to or requiring payment especially as specified,required
peculiar,beyond or deviating from the usual or expected,strange
peculiar,beyond or deviating from the usual or expected,atypical
perceived,detected by instinct or inference rather than by recognized perceptual cues,detected
perceived,detected by instinct or inference rather than by recognized perceptual cues,intuitive
perfect,being complete of its kind and without defect or blemish,flawless
petty,inferior in rank or status,low
petty,inferior in rank or status,inferior
photographic,relating to photography or obtained by using photography,pictorial
physical,involving the body as distinguished from the mind or spirit,tangible
pink,of a light shade of red,pale
pink,of a light shade of red,light
plain,not elaborate or elaborated; simple,unadorned
planned,designed or carried out according to a plan,intentional
pleasant,affording pleasure; being in harmony with your taste or likings,satisfying
pleased,experiencing or manifesting pleasure,satisfied
pleased,experiencing or manifesting pleasure,happy
pleased,experiencing or manifesting pleasure,glad
polish,of or relating to Poland or its people or culture,national
polish,of or relating to Poland or its people or culture,cultural
poor,having little money or few possessions,impoverished
poor,having little money or few possessions,destitute
popular,"regarded with great favor, approval, or affection especially by the general public",accepted
popular,"regarded with great favor, approval, or affection especially by the general public",esteemed
portable,easily or conveniently transported,mobile
portable,easily or conveniently transported,convenient
positive,characterized by or displaying affirmation or acceptance or certainty etc.,optimistic
possible,capable of happening or existing,plausible
possible,capable of happening or existing,feasible
potential,existing in possibility,conceivable
powerful,having great power or force or potency or effect,forceful
precious,characterized by feeling or showing fond affection for,loving
predictable,capable of being foretold,certain
preferred,like better; value more highly,desired
pregnant,carrying developing offspring within the body or being about to produce new life,generative
pregnant,carrying developing offspring within the body or being about to produce new life,reproductive
preliminary,denoting an action or event preceding or in preparation for something more important,early
preliminary,denoting an action or event preceding or in preparation for something more important,preceding
preliminary,denoting an action or event preceding or in preparation for something more important,preparatory
present,temporal sense; intermediate between past and future; now existing or happening or in consideration,temporal
present,being or existing in a specified place,situated
presidential,relating to a president or presidency,official
presidential,relating to a president or presidency,political
primary,of first rank or importance or value; direct and immediate rather than secondary,important
prime,of or relating to or being an integer that cannot be factored into other integers,integer
primitive,belonging to an early stage of technical development; characterized by simplicity and (often) crudeness,basic
primitive,belonging to an early stage of technical development; characterized by simplicity and (often) crudeness,elementary
principal,most important element,significant
prior,earlier in time,earlier
private,confined to particular persons or groups or providing privacy,confidential
privileged,blessed with privileges,fortunate
privileged,blessed with privileges,blessed
probable,likely but not certain to be or become true or real,potential
professional,engaged in a profession or engaging in as a profession or means of livelihood,competent
professional,engaged in a profession or engaging in as a profession or means of livelihood,qualified
professional,engaged in a profession or engaging in as a profession or means of livelihood,skilled
profitable,yielding material gain or profit,valuable
profound,showing intellectual penetration or emotional depth,meaningful
progressive,favoring or promoting progress,modern
progressive,favoring or promoting progress,forward-looking
prominent,having a quality that thrusts itself into attention,remarkable
prominent,having a quality that thrusts itself into attention,notable
proper,marked by suitability or rightness or appropriateness,fitting
protective,intended or adapted to afford protection of some kind,preventive
protective,intended or adapted to afford protection of some kind,secure
protective,intended or adapted to afford protection of some kind,safeguarding
proud,feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride,happy
provincial,of or associated with a province,territorial
provisional,under terms not final or fully worked out or agreed upon,conditional
psychiatric,relating to or used in or engaged in the practice of psychiatry,therapeutic
psychological,of or relating to or determined by psychology,cognitive
public,not private; open to or concerning the people as a whole,accessible
pure,free of extraneous elements of any kind,clean
pure,(used of persons or behaviors) having no faults; sinless,righteous
pure,(used of persons or behaviors) having no faults; sinless,good
purple,of a color intermediate between red and blue,colored
purple,of a color intermediate between red and blue,chromatic
qualified,meeting the proper standards and requirements and training for an office or position or task,adequate
quantitative,expressible as a quantity or relating to or susceptible of measurement,objective
quantitative,expressible as a quantity or relating to or susceptible of measurement,numerical
quick,accomplished rapidly and without delay,expeditious
quick,accomplished rapidly and without delay,swift
quick,accomplished rapidly and without delay,rapid
racial,of or related to genetically distinguished groups of people,social
racial,of or related to genetically distinguished groups of people,cultural
racial,of or related to genetically distinguished groups of people,human
raised,located or moved above the surround or above the normal position,high
raised,located or moved above the surround or above the normal position,higher
raised,located or moved above the surround or above the normal position,superior
random,lacking any definite plan or order or purpose; governed by or depending on chance,chaotic
rapid,done or occurring in a brief period of time,prompt
rapid,done or occurring in a brief period of time,expeditious
rapid,done or occurring in a brief period of time,quick
rapid,done or occurring in a brief period of time,fast
rare,not widely known; especially valued for its uncommonness,exceptional
rare,not widely known; especially valued for its uncommonness,scarce
raw,not treated with heat to prepare it for eating,fresh
raw,not treated with heat to prepare it for eating,unprocessed
raw,not treated with heat to prepare it for eating,uncooked
ready,completely prepared or in condition for immediate action or use or progress,capable
real,being or occurring in fact or actuality; having verified existence; not illusory,authentic
real,being or reflecting the essential or genuine character of something,valid
real,being or reflecting the essential or genuine character of something,authentic
realistic,aware or expressing awareness of things as they really are,perceptive
realistic,aware or expressing awareness of things as they really are,aware
rear,located in or toward the back or rear,aft
reasonable,showing reason or sound judgment,sound
reasonable,showing reason or sound judgment,logical
recent,"approximately the last 10,000 years",new
reckless,marked by defiant disregard for danger or consequences,irresponsible
reckless,marked by defiant disregard for danger or consequences,imprudent
red,a tributary of the Mississippi River that flows eastward from Texas along the southern boundary of Oklahoma and through Louisiana,fluvial
reduced,made less in size or amount or degree,diminished
related,connected by kinship,associated
related,connected by kinship,familial
relevant,having a bearing on or connection with the subject at issue,related
relevant,having a bearing on or connection with the subject at issue,connected
religious,having or showing belief in and reverence for a deity,pious
reluctant,unwillingness to do something contrary to your custom,disinclined
reluctant,unwillingness to do something contrary to your custom,averse
renewed,restored to a new condition,refreshed
required,necessary for relief or supply,vital
residential,used or designed for residence or limited to residences,domestic
residential,used or designed for residence or limited to residences,private
residential,used or designed for residence or limited to residences,habitational
respectable,characterized by socially or conventionally acceptable morals,upright
respectable,characterized by socially or conventionally acceptable morals,ethical
responsible,worthy of or requiring responsibility or trust; or held accountable,reliable
restless,lacking or not affording physical or mental rest,agitated
restless,lacking or not affording physical or mental rest,disturbed
restricted,subject to restriction or subjected to restriction,constrained
restricted,subject to restriction or subjected to restriction,controlled
restricted,subject to restriction or subjected to restriction,regulated
restrictive,serving to restrict,controlling
retail,the selling of goods to consumers; usually in small quantities and not for resale,transactional
retail,the selling of goods to consumers; usually in small quantities and not for resale,mercantile
revised,improved or brought up to date,improved
revised,improved or brought up to date,enhanced
revolutionary,of or relating to or characteristic or causing an axial or orbital turn,axial
revolutionary,of or relating to or characteristic or causing an axial or orbital turn,orbital
right,being or located on or directed toward the side of the body to the east when facing north,spatial
rigid,designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure,structural
rigid,designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure,solid
rigid,designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure,firm
rising,advancing or becoming higher or greater in degree or value or status,progressive
rising,advancing or becoming higher or greater in degree or value or status,developing
rival,as a rival in a competition,antagonistic
romantic,belonging to or characteristic of Romanticism or the Romantic Movement in the arts,expressive
romantic,belonging to or characteristic of Romanticism or the Romantic Movement in the arts,aesthetic
rotten,very bad,awful
rotten,damaged by decay; hence unsound and useless,damaged
rotten,damaged by decay; hence unsound and useless,degraded
round,having the shape or form of a circle,shaped
round,having the shape or form of a circle,geometric
royal,of or relating to or indicative of or issued or performed by a king or queen or other monarch,official
royal,of or relating to or indicative of or issued or performed by a king or queen or other monarch,governmental
royal,of or relating to or indicative of or issued or performed by a king or queen or other monarch,monarchical
rubber,returned for lack of funds,unpaid
ruling,exercising power or authority,powerful
rural,of or relating to the countryside as opposed to the city,regional
seasonal,occurring at or dependent on a particular season,recurring
secondary,being of second rank or importance or value; not direct or immediate,indirect
secondary,being of second rank or importance or value; not direct or immediate,inferior
secure,free from fear or doubt; easy in mind,assured
select,of superior grade,good
select,of superior grade,fine
selective,tending to select; characterized by careful choice,discriminating
selective,tending to select; characterized by careful choice,careful
semantic,of or relating to meaning or the study of meaning,conceptual
senior,older; higher in rank; longer in length of tenure or service,advanced
senior,older; higher in rank; longer in length of tenure or service,superior
sensible,showing reason or sound judgment,logical
sensible,showing reason or sound judgment,sound
sensitive,responsive to physical stimuli,perceptive
separate,independent; not united or joint,independent
shallow,lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center,superficial
shallow,lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center,flat
shallow,acking depth of intellect or knowledge; concerned only with what is obvious,elementary
shallow,acking depth of intellect or knowledge; concerned only with what is obvious,superficial
shallow,acking depth of intellect or knowledge; concerned only with what is obvious,basic
shared,have in common; held or experienced in common,collective
shared,have in common; held or experienced in common,mutual
sharp,keenly and painfully felt; as if caused by a sharp edge or point,intense
sheer,complete and without restriction or qualification; sometimes used informally as intensifiers,complete
shocked,"struck with fear, dread, or consternation",frightened
short,primarily temporal sense; indicating or being or seeming to be limited in duration,transient
short,primarily temporal sense; indicating or being or seeming to be limited in duration,finite
short,primarily temporal sense; indicating or being or seeming to be limited in duration,temporary
short,(primarily spatial sense) having little length or lacking in length,brief
short,(primarily spatial sense) having little length or lacking in length,compact
short-term,relating to or extending over a limited period,finite
short-term,relating to or extending over a limited period,transient
sick,affected by an impairment of normal physical or mental function,infirm
sick,affected by an impairment of normal physical or mental function,unhealthy
sick,affected by an impairment of normal physical or mental function,impaired
silent,marked by absence of sound,peaceful
silent,marked by absence of sound,noiseless
silver,made from or largely consisting of silver,lustrous
similar,marked by correspondence or resemblance,akin
similar,marked by correspondence or resemblance,related
similar,marked by correspondence or resemblance,corresponding
similar,marked by correspondence or resemblance,analogous
single,being or characteristic of a single thing or person,unique
single,not married or related to the unmarried state,independent
single,not married or related to the unmarried state,free
slight,(quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with ‘a’) at least some,minor
slim,being of delicate or slender build,narrow
slippery,causing or tending to cause things to slip or slide,treacherous
slippery,causing or tending to cause things to slip or slide,smooth
slow,not moving quickly; taking a comparatively long time,leisurely
small,limited or below average in number or quantity or magnitude or extent,insufficient
social,relating to human society and its members,collective
social,relating to human society and its members,human
social,relating to human society and its members,public
sociological,of or relating to or determined by sociology,academic
solar,relating to or derived from the sun or utilizing the energies of the sun,astral
solar,relating to or derived from the sun or utilizing the energies of the sun,cosmic
solar,relating to or derived from the sun or utilizing the energies of the sun,stellar
solar,relating to or derived from the sun or utilizing the energies of the sun,radiant
solar,relating to or derived from the sun or utilizing the energies of the sun,natural
sole,not divided or shared with others,single
sole,not divided or shared with others,unique
solid,of definite shape and volume; firm; neither liquid nor gaseous,physical
solid,of definite shape and volume; firm; neither liquid nor gaseous,material
sorry,feeling or expressing regret or sorrow or a sense of loss over something done or undone,unhappy
sound,financially secure and safe,safe
sour,having a sharp biting taste,pungent
sour,having a sharp biting taste,bitter
sour,having a sharp biting taste,sharp
southern,in or characteristic of a region of the United States south of (approximately) the Mason-Dixon line,geographic
spare,thin and fit,thin
spare,thin and fit,fit
special,unique or specific to a person or thing or category,specific
special,unique or specific to a person or thing or category,exclusive
special,unique or specific to a person or thing or category,individual
specified,clearly and explicitly stated,definite
specified,clearly and explicitly stated,defined
specified,clearly and explicitly stated,stated
specified,clearly and explicitly stated,clear
splendid,having great beauty and splendor,grand
spoken,uttered through the medium of speech or characterized by speech; sometimes used in combination,communicative
spoken,uttered through the medium of speech or characterized by speech; sometimes used in combination,vocal
spontaneous,happening or arising without apparent external cause,automatic
spontaneous,happening or arising without apparent external cause,unplanned
square,having four equal sides and four right angles or forming a right angle,rectangular
square,having four equal sides and four right angles or forming a right angle,regular
stable,resistant to change of position or condition,secure
stable,resistant to change of position or condition,constant
standard,conforming to or constituting a standard of measurement or value; or of the usual or regularized or accepted kind,conventional
static,concerned with or producing or caused by static electricity,electric
statistical,of or relating to statistics,numerical
statutory,relating to or created by statutes,regulatory
steady,not subject to change or variation especially in behavior,reliable
sterling,highest in quality,outstanding
still,used of pictures; of a single or static photograph not presented so as to create the illusion of motion; or representing objects not capable of motion,immobile
still,used of pictures; of a single or static photograph not presented so as to create the illusion of motion; or representing objects not capable of motion,fixed
stolen,take without the owner's consent,illicit
stolen,take without the owner's consent,unlawful
straight,characterized by honesty and fairness,ethical
straight,characterized by honesty and fairness,honest
straight,characterized by honesty and fairness,upright
straight,having no deviations,uniform
straight,having no deviations,regular
strategic,relating to or concerned with strategy,calculated
strategic,relating to or concerned with strategy,tactical
strict,"characterized by strictness, severity, or restraint",demanding
strict,"characterized by strictness, severity, or restraint",disciplined
striking,sensational in appearance or thrilling in effect,noticeable
strong,being distilled rather than fermented; having a high alcoholic content,alcoholic
strong,strong and sure,powerful
strong,strong and sure,robust
strong,having strength or power greater than average or expected,vigorous
strong,having strength or power greater than average or expected,mighty
strong,immune to attack; incapable of being tampered with,invulnerable
strong,immune to attack; incapable of being tampered with,resistant
structural,"relating to or caused by structure, especially political or economic structure",systemic
structural,"relating to or caused by structure, especially political or economic structure",organizational
stubborn,tenaciously unwilling or marked by tenacious unwillingness to yield,determined
stunning,make senseless or dizzy by or as if by a blow,dizzying
stunning,make senseless or dizzy by or as if by a blow,disorienting
subject,possibly accepting or permitting,tolerant
subjective,taking place within the mind and modified by individual bias,individual
subjective,taking place within the mind and modified by individual bias,cognitive
subsequent,following in time or order,following
substantial,having substance or capable of being treated as fact; not imaginary,actual
substantial,having substance or capable of being treated as fact; not imaginary,valid
subtle,difficult to detect or grasp by the mind or analyze,delicate
subtle,difficult to detect or grasp by the mind or analyze,indistinct
successful,having succeeded or being marked by a favorable outcome,productive
successful,having succeeded or being marked by a favorable outcome,effective
sufficient,of a quantity that can fulfill a need or requirement but without being abundant,satisfactory
super,of the highest quality,great
super,of the highest quality,prime
superb,of surpassing excellence,fine
superb,of surpassing excellence,superior
superior,of high or superior quality or performance,high-quality
supplementary,functioning in a supporting capacity,supporting
supplementary,functioning in a supporting capacity,additional
supplementary,functioning in a supporting capacity,secondary
supporting,furnishing support and encouragement,constructive
supporting,furnishing support and encouragement,beneficial
supreme,final or last in your life or progress,terminal
sure,having or feeling no doubt or uncertainty; confident and assured,positive
surplus,"more than is needed, desired, or required",excessive
surprised,taken unawares or suddenly and feeling wonder or astonishment,astonished
surprised,taken unawares or suddenly and feeling wonder or astonishment,emotional
surrounding,closely encircling,enclosing
suspicious,openly distrustful and unwilling to confide,skeptical
symbolic,relating to or using or proceeding by means of symbols,conceptual
sympathetic,of or relating to the sympathetic nervous system,nervous
sympathetic,of or relating to the sympathetic nervous system,autonomic
syntactic,of or relating to or conforming to the rules of syntax,formal
syntactic,of or relating to or conforming to the rules of syntax,structural
systematic,characterized by order and planning,methodical
talented,endowed with talent or talents,capable
talented,endowed with talent or talents,proficient
tall,great in vertical dimension; high in stature,high
tall,great in vertical dimension; high in stature,vertical
tall,great in vertical dimension; high in stature,big
tasty,pleasing to the sense of taste,palatable
tasty,pleasing to the sense of taste,delicious
tasty,pleasing to the sense of taste,appetizing
technical,of or relating to technique or proficiency in a practical skill,specialized
technical,of or relating to technique or proficiency in a practical skill,skilled
technological,of or relating to a practical subject that is organized according to scientific principles,applied
temporary,not permanent; not lasting,provisional
temporary,not permanent; not lasting,transient
tense,taut or rigid; stretched tight,rigid
terminal,of or relating to or situated at the ends of a delivery route,ultimate
