hyponym,hypo-definition,hypernym
embarrassing,hard to deal with; especially causing pain or embarrassment,difficult
embarrassing,hard to deal with; especially causing pain or embarrassment,unpleasant
embarrassing,hard to deal with; especially causing pain or embarrassment,uncomfortable
embarrassing,hard to deal with; especially causing pain or embarrassment,painful
emotional,determined or actuated by emotion rather than reason,passionate
emotional,determined or actuated by emotion rather than reason,subjective
empirical,derived from experiment and observation rather than theory,experimental
empirical,derived from experiment and observation rather than theory,scientific
empirical,derived from experiment and observation rather than theory,observational
empirical,derived from experiment and observation rather than theory,practical
empty,holding or containing nothing,unoccupied
empty,holding or containing nothing,unfilled
encouraging,giving courage or confidence or hope,positive
encouraging,giving courage or confidence or hope,inspiring
encouraging,giving courage or confidence or hope,supportive
encouraging,giving courage or confidence or hope,motivating
encouraging,giving courage or confidence or hope,uplifting
endless,tiresomely long; seemingly without end,long
enhanced,increased or intensified in value or beauty or quality,improved
enhanced,increased or intensified in value or beauty or quality,better
enhanced,increased or intensified in value or beauty or quality,superior
enjoyable,affording satisfaction or pleasure,pleasant
enjoyable,affording satisfaction or pleasure,agreeable
enjoyable,affording satisfaction or pleasure,satisfying
enormous,extraordinarily large in size or extent or amount or power or degree,large
enormous,extraordinarily large in size or extent or amount or power or degree,huge
enormous,extraordinarily large in size or extent or amount or power or degree,big
enthusiastic,having or showing great excitement and interest,passionate
environmental,of or relating to the external conditions or surroundings,external
environmental,of or relating to the external conditions or surroundings,surrounding
equal,"having the same quantity, value, or measure as another",similar
equal,"having the same quantity, value, or measure as another",comparable
equivalent,being essentially equal to something,similar
equivalent,being essentially equal to something,comparable
equivalent,being essentially equal to something,equal
essential,basic and fundamental,primary
essential,basic and fundamental,key
essential,basic and fundamental,important
established,brought about or set up or accepted; especially long established,accepted
established,brought about or set up or accepted; especially long established,recognized
eternal,continuing forever or indefinitely,indefinite
ethical,of or relating to the philosophical study of ethics,moral
ethical,of or relating to the philosophical study of ethics,philosophical
ethnic,denoting or deriving from or distinctive of the ways of living built up by a group of people,national
ethnic,denoting or deriving from or distinctive of the ways of living built up by a group of people,regional
ethnic,denoting or deriving from or distinctive of the ways of living built up by a group of people,traditional
even,being level or straight or regular and without variation as e.g. in shape or texture,flat
even,being level or straight or regular and without variation as e.g. in shape or texture,uniform
even,being level or straight or regular and without variation as e.g. in shape or texture,consistent
eventual,expected to follow in the indefinite future from causes already operating,future
everyday,found in the ordinary course of events,ordinary
everyday,found in the ordinary course of events,usual
everyday,found in the ordinary course of events,common
everyday,found in the ordinary course of events,regular
evident,clearly revealed to the mind or the senses or judgment,clear
evident,clearly revealed to the mind or the senses or judgment,visible
evil,morally bad or wrong,immoral
evil,morally bad or wrong,negative
evil,morally bad or wrong,wrong
evil,morally bad or wrong,harmful
evil,morally bad or wrong,bad
evolutionary,of or relating to or produced by evolution,biological
evolutionary,of or relating to or produced by evolution,natural
evolutionary,of or relating to or produced by evolution,developmental
exact,marked by strict and particular and complete accordance with fact,correct
exact,marked by strict and particular and complete accordance with fact,faithful
exact,marked by strict and particular and complete accordance with fact,true
excellent,very good; of the highest quality,superior
excellent,very good; of the highest quality,good
exceptional,far beyond what is usual in magnitude or degree,remarkable
exceptional,far beyond what is usual in magnitude or degree,outstanding
excessive,beyond normal limits,extreme
excited,in an aroused state,energetic
excited,in an aroused state,animated
excited,in an aroused state,stimulated
exciting,creating or arousing excitement,stimulating
exciting,creating or arousing excitement,interesting
exclusive,excluding much or all; especially all but a particular group or minority,selective
executive,having the function of carrying out plans or orders etc.,administrative
executive,having the function of carrying out plans or orders etc.,managerial
executive,having the function of carrying out plans or orders etc.,operational
existing,having existence or being or actuality,real
existing,having existence or being or actuality,actual
existing,having existence or being or actuality,present
expected,considered likely or probable to happen or arrive,probable
expected,considered likely or probable to happen or arrive,likely
experienced,having experience; having knowledge or skill from observation or participation,knowledgeable
experienced,having experience; having knowledge or skill from observation or participation,skilled
experienced,having experience; having knowledge or skill from observation or participation,competent
experienced,having experience; having knowledge or skill from observation or participation,proficient
experimental,relating to or based on experiment,investigative
experimental,relating to or based on experiment,scientific
experimental,relating to or based on experiment,empirical
expert,having or showing knowledge and skill and aptitude,knowledgeable
expert,having or showing knowledge and skill and aptitude,competent
expert,having or showing knowledge and skill and aptitude,skilled
explicit,precisely and clearly expressed or readily observable; leaving nothing to implication,clear
explicit,precisely and clearly expressed or readily observable; leaving nothing to implication,obvious
express,not tacit or implied,explicit
express,not tacit or implied,clear
express,not tacit or implied,direct
extended,fully extended or stretched forth,long
extensive,of agriculture; increasing productivity by using large areas with minimal outlay and labor,agricultural
extensive,of agriculture; increasing productivity by using large areas with minimal outlay and labor,productive
external,happening or arising or located outside or beyond some limits or especially surface,extrinsic
external,happening or arising or located outside or beyond some limits or especially surface,outer
extinct,no longer in existence; lost or especially having died out leaving no living representatives,defunct
extra,"more than is needed, desired, or required",excessive
extra,"more than is needed, desired, or required",unnecessary
extreme,of the greatest possible degree or extent or intensity,intense
extreme,of the greatest possible degree or extent or intensity,profound
extreme,of the greatest possible degree or extent or intensity,severe
faint,deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc,low
faint,deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc,soft
faithful,steadfast in affection or allegiance,constant
faithful,steadfast in affection or allegiance,devoted
faithful,steadfast in affection or allegiance,dedicated
false,not in accordance with the fact or reality or actuality,erroneous
false,not in accordance with the fact or reality or actuality,deceptive
false,not in accordance with the fact or reality or actuality,incorrect
familiar,well known or easily recognized,known
far,located at a great distance in time or space or degree,distant
far,located at a great distance in time or space or degree,remote
fascinating,capable of arousing and holding the attention,interesting
fascinating,capable of arousing and holding the attention,engaging
fascinating,capable of arousing and holding the attention,compelling
fascinating,capable of arousing and holding the attention,attractive
fast,acting or moving or capable of acting or moving quickly,rapid
fast,acting or moving or capable of acting or moving quickly,swift
fastidious,giving careful attention to detail; hard to please; excessively concerned with cleanliness,particular
fastidious,giving careful attention to detail; hard to please; excessively concerned with cleanliness,demanding
fastidious,giving careful attention to detail; hard to please; excessively concerned with cleanliness,scrupulous
fastidious,giving careful attention to detail; hard to please; excessively concerned with cleanliness,meticulous
fat,having an (over)abundance of flesh,heavy
fat,having an (over)abundance of flesh,large
fatal,bringing death,dangerous
fatal,bringing death,harmful
favorable,encouraging or approving or pleasing,beneficial
favorable,encouraging or approving or pleasing,positive
favorable,encouraging or approving or pleasing,good
favourite,appealing to the general public,popular
favourite,appealing to the general public,well-liked
feasible,capable of being done with means at hand and circumstances as they are,possible
feasible,capable of being done with means at hand and circumstances as they are,achievable
feasible,capable of being done with means at hand and circumstances as they are,practical
federal,of or relating to the central government of a federation,governmental
federal,of or relating to the central government of a federation,national
fellow,a boy or man,male
fellow,a boy or man,human
female,being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop,biological
female,being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop,sexual
feminine,associated with women and not with men,gendered
fierce,marked by extreme and violent energy,aggressive
fierce,marked by extreme and violent energy,intense
final,occurring at or forming an end or termination,ultimate
financial,involving financial matters,business
financial,involving financial matters,monetary
financial,involving financial matters,economic
financial,involving financial matters,commercial
fine,of textures that are smooth to the touch or substances consisting of relatively small particles,smooth
fine,of textures that are smooth to the touch or substances consisting of relatively small particles,delicate
finished,(of materials or goods) brought to the desired final state,complete
finished,brought to ruin,damaged
finished,brought to ruin,destroyed
firm,marked by firm determination or resolution; not shakable,resolute
firm,marked by firm determination or resolution; not shakable,determined
first,preceding all others in time or space or degree,early
first,preceding all others in time or space or degree,initial
first,preceding all others in time or space or degree,primary
fiscal,involving financial matters,economic
fit,meeting adequate standards for a purpose,appropriate
fit,meeting adequate standards for a purpose,adequate
fit,meeting adequate standards for a purpose,suitable
fixed,securely placed or fastened or set,secure
fixed,securely placed or fastened or set,stable
flat,lacking contrast or shading between tones,uniform
flat,lacking contrast or shading between tones,plain
flawed,having a blemish or flaw,imperfect
flawed,having a blemish or flaw,defective
flawed,having a blemish or flaw,faulty
flexible,capable of being changed,adaptable
flexible,capable of being changed,changeable
following,going or proceeding or coming after in the same direction,successive
following,going or proceeding or coming after in the same direction,consecutive
following,going or proceeding or coming after in the same direction,subsequent
fond,having or displaying warmth or affection,loving
fond,having or displaying warmth or affection,kind
fond,having or displaying warmth or affection,warm
foolish,devoid of good sense or judgment,imprudent
foolish,devoid of good sense or judgment,irrational
foolish,devoid of good sense or judgment,unwise
foreign,of concern to or concerning the affairs of other nations (other than your own),international
foreign,of concern to or concerning the affairs of other nations (other than your own),external
formal,being in accord with established forms and conventions and requirements (as e.g. of formal dress),official
formidable,extremely impressive in strength or excellence,excellent
formidable,extremely impressive in strength or excellence,powerful
formidable,extremely impressive in strength or excellence,impressive
forthcoming,at ease in talking to others,friendly
forward,at or near or directed toward the front,anterior
forward,at or near or directed toward the front,leading
fragile,easily broken or damaged or destroyed,vulnerable
fragile,easily broken or damaged or destroyed,weak
fragrant,pleasant-smelling,pleasant
frank,a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century,germanic
frank,a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century,european
free,not limited or hampered; not under compulsion or restraint,unbound
free,not limited or hampered; not under compulsion or restraint,unrestricted
free,not limited or hampered; not under compulsion or restraint,unconstrained
free,not limited or hampered; not under compulsion or restraint,unfettered
free,not occupied or in use,available
frequent,coming at short intervals or habitually,regular
frequent,coming at short intervals or habitually,common
fresh,recently made,current
fresh,recently made,recent
fresh,improperly forward or bold,forward
fresh,improperly forward or bold,brazen
fresh,improperly forward or bold,audacious
fresh,improperly forward or bold,bold
friendly,characteristic of or befitting a friend,approachable
friendly,characteristic of or befitting a friend,pleasant
friendly,characteristic of or befitting a friend,kind
friendly,characteristic of or befitting a friend,warm
friendly,characteristic of or befitting a friend,affable
frightened,made afraid,worried
frightened,made afraid,distressed
frightened,made afraid,apprehensive
frightened,made afraid,anxious
front,relating to or located in the front,anterior
front,relating to or located in the front,leading
fucking,informal intensifiers,intense
fucking,informal intensifiers,strong
full-time,for the entire time appropriate to an activity,complete
full-time,for the entire time appropriate to an activity,permanent
full-time,for the entire time appropriate to an activity,constant
full,containing as much or as many as is possible or normal,complete
full,containing as much or as many as is possible or normal,ample
full,containing as much or as many as is possible or normal,packed
full,filled to satisfaction with food or drink,satisfied
fun,activities that are enjoyable or amusing,entertaining
fun,activities that are enjoyable or amusing,amusing
fun,activities that are enjoyable or amusing,enjoyable
functional,designed for or capable of a particular function or use,serviceable
functional,designed for or capable of a particular function or use,useful
functional,designed for or capable of a particular function or use,practical
fundamental,serving as an essential component,essential
fundamental,serving as an essential component,basic
fundamental,serving as an essential component,primary
funny,arousing or provoking laughter,entertaining
funny,arousing or provoking laughter,humorous
future,yet to be or coming,pending
future,yet to be or coming,prospective
future,yet to be or coming,forthcoming
gay,bright and pleasant; promoting a feeling of cheer,cheerful
gay,bright and pleasant; promoting a feeling of cheer,joyful
gay,bright and pleasant; promoting a feeling of cheer,pleasant
general,applying to all or most members of a category or group,inclusive
general,applying to all or most members of a category or group,broad
general,applying to all or most members of a category or group,comprehensive
general,applying to all or most members of a category or group,overall
general,applying to all or most members of a category or group,common
generous,willing to give and share unstintingly,benevolent
generous,willing to give and share unstintingly,kind
generous,willing to give and share unstintingly,charitable
genetic,of or relating to or produced by or being a gene,biological
genetic,of or relating to or produced by or being a gene,molecular
gentle,soft and mild; not harsh or stern or severe,calm
gentle,soft and mild; not harsh or stern or severe,tender
genuine,not fake or counterfeit,authentic
geological,of or relating to or based on geology,natural
geological,of or relating to or based on geology,scientific
giant,of great mass; huge and bulky,large
giant,of great mass; huge and bulky,enormous
giant,of great mass; huge and bulky,big
giant,of great mass; huge and bulky,huge
glad,showing or causing joy and pleasure; especially made happy,pleased
glad,showing or causing joy and pleasure; especially made happy,content
glad,showing or causing joy and pleasure; especially made happy,joyful
global,involving the entire earth; not limited or provincial in scope,international
global,involving the entire earth; not limited or provincial in scope,universal
glorious,having or deserving or conferring glory,distinguished
gold,made from or covered with gold,precious
gold,made from or covered with gold,metallic
golden,having the deep slightly brownish color of gold,yellow
good,promoting or enhancing well-being,positive
good,promoting or enhancing well-being,favorable
good,of moral excellence,ethical
good,of moral excellence,moral
gradual,proceeding in small stages,incremental
gradual,proceeding in small stages,progressive
gradual,proceeding in small stages,steady
grammatical,of or pertaining to grammar,linguistic
grand,of behavior that is impressive and ambitious in scale or scope,ambitious
grand,of behavior that is impressive and ambitious in scale or scope,impressive
graphic,evoking lifelike images within the mind,realistic
graphic,evoking lifelike images within the mind,descriptive
grateful,feeling or showing gratitude,appreciative
grateful,feeling or showing gratitude,content
grateful,feeling or showing gratitude,pleased
great,of major significance or importance,significant
great,of major significance or importance,important
green,concerned with or supporting or in conformity with the political principles of the Green Party,progressive
green,concerned with or supporting or in conformity with the political principles of the Green Party,environmental
gregarious,(of animals) tending to form a group with others of the same species,social
grey,United States writer of western adventure novels (1875-1939),western
grey,United States writer of western adventure novels (1875-1939),american
grim,not to be placated or appeased or moved by entreaty,implacable
grim,not to be placated or appeased or moved by entreaty,unyielding
gross,before any deductions,total
growing,relating to or suitable for growth,progressive
growing,relating to or suitable for growth,productive
growing,relating to or suitable for growth,developing
guilty,responsible for or chargeable with a reprehensible act,responsible
handicapped,injure permanently,impaired
handicapped,injure permanently,injured
handsome,pleasing in appearance especially by reason of conformity to ideals of form and proportion,attractive
handsome,pleasing in appearance especially by reason of conformity to ideals of form and proportion,beautiful
handy,United States blues musician who transcribed and published traditional blues music (1873-1958),american
handy,United States blues musician who transcribed and published traditional blues music (1873-1958),musical
happy,enjoying or showing or marked by joy or pleasure,content
happy,enjoying or showing or marked by joy or pleasure,cheerful
hard,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,demanding
hard,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,challenging
harmful,causing or capable of causing harm,dangerous
harmful,causing or capable of causing harm,detrimental
harsh,of textures that are rough to the touch or substances consisting of relatively large particles,uneven
head,the upper part of the human body or the front part of the body in animals; contains the face and brains,bodily
helpless,lacking in or deprived of strength or power,weak
helpless,lacking in or deprived of strength or power,powerless
hidden,not accessible to view,obscured
hidden,not accessible to view,invisible
high,greater than normal in quantity or amount,abundant
high,greater than normal in quantity or amount,large
high,greater than normal in quantity or amount,extensive
high,greater than normal in quantity or amount,considerable
hilarious,marked by or causing boisterous merriment or convulsive laughter,amusing
hilarious,marked by or causing boisterous merriment or convulsive laughter,funny
historic,belonging to the past; of what is important or famous in the past,old
historic,belonging to the past; of what is important or famous in the past,past
historical,of or relating to the study of history,scholarly
historical,of or relating to the study of history,academic
historical,of or relating to the study of history,cultural
holy,belonging to or derived from or associated with a divine power,divine
holy,belonging to or derived from or associated with a divine power,religious
homosexual,sexually attracted to members of your own sex,sexual
homosexual,sexually attracted to members of your own sex,attracted
honest,not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth,sincere
honest,not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth,trustworthy
honest,not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth,genuine
honest,not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth,truthful
honorable,not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth,trustworthy
honorable,not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth,upright
honourable,worthy of being honored; entitled to honor and respect,decent
honourable,worthy of being honored; entitled to honor and respect,admirable
horizontal,parallel to or in the plane of the horizon or a base line,parallel
horizontal,parallel to or in the plane of the horizon or a base line,flat
horizontal,parallel to or in the plane of the horizon or a base line,level
horrible,provoking horror,dreadful
hostile,characterized by enmity or ill will,adverse
hostile,characterized by enmity or ill will,inimical
hostile,characterized by enmity or ill will,antagonistic
hot,(extended meanings,warm
human,characteristic of humanity,organic
human,characteristic of humanity,biological
humble,marked by meekness or modesty; not arrogant or prideful,unassuming
hungry,feeling hunger; feeling a need or desire to eat food,needy
ideal,of or relating to the philosophical doctrine of the reality of ideas,metaphysical
ideal,of or relating to the philosophical doctrine of the reality of ideas,philosophical
identical,(of twins) derived from a single egg or ovum,similar
identical,(of twins) derived from a single egg or ovum,corresponding
ideological,of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation,social
ideological,of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation,cultural
ideological,of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation,political
ideological,of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation,philosophical
ideological,of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation,theoretical
ignorant,uneducated in general; lacking knowledge or sophistication,uninformed
ignorant,uneducated in general; lacking knowledge or sophistication,unsophisticated
ill,affected by an impairment of normal physical or mental function,unhealthy
ill,affected by an impairment of normal physical or mental function,impaired
ill,affected by an impairment of normal physical or mental function,weak
imaginative,(used of persons or artifacts) marked by independence and creativity in thought or action,original
imaginative,(used of persons or artifacts) marked by independence and creativity in thought or action,resourceful
imaginative,(used of persons or artifacts) marked by independence and creativity in thought or action,creative
immediate,having no intervening medium,direct
imminent,close in time; about to occur,approaching
imminent,close in time; about to occur,pending
imminent,close in time; about to occur,near
imminent,close in time; about to occur,forthcoming
imminent,close in time; about to occur,upcoming
implicit,implied though not directly expressed; inherent in the nature of something,understood
implicit,implied though not directly expressed; inherent in the nature of something,underlying
implicit,implied though not directly expressed; inherent in the nature of something,inherent
implicit,implied though not directly expressed; inherent in the nature of something,indirect
implicit,implied though not directly expressed; inherent in the nature of something,latent
important,of great significance or value,notable
impossible,not capable of occurring or being accomplished or dealt with,infeasible
impressive,making a strong or vivid impression,striking
impressive,making a strong or vivid impression,remarkable
improved,made more desirable or valuable or profitable; especially made ready for use or marketing,enhanced
improved,made more desirable or valuable or profitable; especially made ready for use or marketing,superior
inadequate,lacking the requisite qualities or resources to meet a task,deficient
inadequate,lacking the requisite qualities or resources to meet a task,unfit
inadequate,lacking the requisite qualities or resources to meet a task,insufficient
inappropriate,not suitable for a particular occasion etc,unsuitable
inappropriate,not suitable for a particular occasion etc,unfit
incapable,(followed by ‘of’) lacking capacity or ability,powerless
incapable,(followed by ‘of’) lacking capacity or ability,inept
incapable,(followed by ‘of’) lacking capacity or ability,weak
incapable,(followed by ‘of’) lacking capacity or ability,unable
inclined,"(often followed by ‘to’) having a preference, disposition, or tendency",tending
inclined,"(often followed by ‘to’) having a preference, disposition, or tendency",prone
incongruous,lacking in harmony or compatibility or appropriateness,incompatible
incongruous,lacking in harmony or compatibility or appropriateness,improper
increased,made greater in size or amount or degree,larger
increased,made greater in size or amount or degree,greater
increasing,becoming greater or larger,rising
increasing,becoming greater or larger,growing
increasing,becoming greater or larger,expanding
incredible,beyond belief or understanding,remarkable
independent,free from external control and constraint,unconstrained
independent,free from external control and constraint,free
indigenous,originating where it is found,native
indigenous,originating where it is found,local
indirect,not direct in spatial dimension; not leading by a straight line or course to a destination,oblique
individual,being or characteristic of a single thing or person,particular
individual,being or characteristic of a single thing or person,distinct
indoor,"located, suited for, or taking place within a building",enclosed
indoor,"located, suited for, or taking place within a building",internal
industrial,of or relating to or resulting from industry,economic
industrial,of or relating to or resulting from industry,commercial
infinite,having no limits or boundaries in time or space or extent or magnitude,vast
infinite,having no limits or boundaries in time or space or extent or magnitude,immeasurable
infinite,having no limits or boundaries in time or space or extent or magnitude,limitless
infinite,having no limits or boundaries in time or space or extent or magnitude,boundless
informal,not formal,unofficial
informal,not formal,casual
informal,not formal,relaxed
inherent,existing as an essential constituent or characteristic,intrinsic
inherent,existing as an essential constituent or characteristic,essential
initial,occurring at the beginning,first
initial,occurring at the beginning,preliminary
initial,occurring at the beginning,early
inland,situated away from an area's coast or border,interior
inland,situated away from an area's coast or border,central
inner,located or occurring within or closer to a center,central
innocent,free from evil or guilt,good
innocent,free from evil or guilt,pure
innocent,free from evil or guilt,virtuous
innovative,ahead of the times,forward-thinking
innovative,ahead of the times,progressive
innovative,ahead of the times,creative
innovative,ahead of the times,original
instant,occurring with no delay,quick
instant,occurring with no delay,prompt
institutional,relating to or constituting or involving an institution,organizational
institutional,relating to or constituting or involving an institution,structural
instrumental,relating to or designed for or performed on musical instruments,musical
insufficient,of a quantity not able to fulfill a need or requirement,inadequate
intact,constituting the undiminished entirety; lacking nothing essential especially not damaged,complete
intact,constituting the undiminished entirety; lacking nothing essential especially not damaged,whole
intact,constituting the undiminished entirety; lacking nothing essential especially not damaged,undamaged
integral,of or denoted by an integer,whole
integrated,formed into a whole or introduced into another entity,combined
intellectual,appealing to or using the intellect,mental
intellectual,appealing to or using the intellect,cognitive
intelligent,having the capacity for thought and reason especially to a high degree,bright
intelligent,having the capacity for thought and reason especially to a high degree,rational
intense,possessing or displaying a distinctive feature to a heightened degree,strong
intensive,tending to give force or emphasis,forceful
intensive,tending to give force or emphasis,emphatic
intensive,tending to give force or emphasis,strong
intent,giving or marked by complete attention to,focused
intent,giving or marked by complete attention to,concentrated
intent,giving or marked by complete attention to,attentive
interactive,used especially of drugs or muscles that work together so the total effect is greater than the sum of the two (or more),cooperative
interested,having or showing interest; especially curiosity or fascination or concern,curious
interested,having or showing interest; especially curiosity or fascination or concern,involved
interested,having or showing interest; especially curiosity or fascination or concern,engaged
interested,having or showing interest; especially curiosity or fascination or concern,attentive
interesting,arousing or holding the attention,compelling
interesting,arousing or holding the attention,engaging
interesting,arousing or holding the attention,captivating
interesting,arousing or holding the attention,attractive
interim,serving during an intermediate interval of time,temporary
interim,serving during an intermediate interval of time,provisional
interior,situated within or suitable for inside a building,indoor
intermediate,lying between two extremes in time or space or state,middle
intermediate,lying between two extremes in time or space or state,central
internal,happening or arising or located within some limits or especially surface,intrinsic
international,concerning or belonging to all or at least two or more nations,global
international,concerning or belonging to all or at least two or more nations,transnational
intimate,"marked by close acquaintance, association, or familiarity",close
invaluable,"having incalculable monetary, intellectual, or spiritual worth",valuable
invaluable,"having incalculable monetary, intellectual, or spiritual worth",worthwhile
invisible,impossible or nearly impossible to see; imperceptible by the eye,unseen
invisible,impossible or nearly impossible to see; imperceptible by the eye,hidden
invisible,impossible or nearly impossible to see; imperceptible by the eye,imperceptible
invisible,impossible or nearly impossible to see; imperceptible by the eye,undetectable
involved,connected by participation or association or use,related
involved,connected by participation or association or use,associated
involved,connected by participation or association or use,connected
isolated,not close together in time,separate
isolated,not close together in time,distinct
jealous,showing extreme cupidity; painfully desirous of another's advantages,greedy
joint,united or combined,combined
joint,united or combined,unified
joint,united or combined,connected
joint,united or combined,linked
judicial,belonging or appropriate to the office of a judge,official
judicial,belonging or appropriate to the office of a judge,legal
junior,younger; lower in rank; shorter in length of tenure or service,shorter
junior,younger; lower in rank; shorter in length of tenure or service,lower
just,used especially of what is legally or ethically right or proper or fitting,correct
just,used especially of what is legally or ethically right or proper or fitting,proper
justified,having words so spaced that lines have straight even margins,regular
justified,having words so spaced that lines have straight even margins,aligned
keen,having or demonstrating ability to recognize or draw fine distinctions,discerning
keen,having or demonstrating ability to recognize or draw fine distinctions,astute
keen,having or demonstrating ability to recognize or draw fine distinctions,perceptive
key,United States lawyer and poet who wrote a poem after witnessing the British attack on Baltimore during the War of 1812; the poem was later set to music and entitled ‘The Star-Spangled Banner’ (1779-1843),historical
key,United States lawyer and poet who wrote a poem after witnessing the British attack on Baltimore during the War of 1812; the poem was later set to music and entitled ‘The Star-Spangled Banner’ (1779-1843),american
kind,having or showing a tender and considerate and helpful nature; used especially of persons and their behavior,generous
kind,having or showing a tender and considerate and helpful nature; used especially of persons and their behavior,compassionate
kind,having or showing a tender and considerate and helpful nature; used especially of persons and their behavior,benevolent
known,apprehended with certainty,certain
known,apprehended with certainty,established
labour,a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries,political
lacking,inadequate in amount or degree,insufficient
lacking,inadequate in amount or degree,inadequate
large-scale,unusually large in scope,extensive
large-scale,unusually large in scope,broad
large,above average in size or number or quantity or magnitude or extent,substantial
large,above average in size or number or quantity or magnitude or extent,considerable
large,above average in size or number or quantity or magnitude or extent,extensive
late,being or occurring at an advanced period of time or after a usual or expected time,delayed
latest,up to the immediate present; most recent or most up-to-date,current
latest,up to the immediate present; most recent or most up-to-date,recent
latest,up to the immediate present; most recent or most up-to-date,up-to-date
latest,up to the immediate present; most recent or most up-to-date,new
latin,of or relating to the ancient Latins or the Latin language,classical
latin,of or relating to the ancient Latins or the Latin language,ancient
latin,of or relating to the ancient Latins or the Latin language,linguistic
lazy,moving slowly and gently,slow
left,being or located on or directed toward the side of the body to the west when facing north,spatial
left,being or located on or directed toward the side of the body to the west when facing north,directional
legal,established by or founded upon law or official or accepted rules,authorized
legal,established by or founded upon law or official or accepted rules,official
legal,established by or founded upon law or official or accepted rules,legitimate
legislative,relating to a legislature or composed of members of a legislature,administrative
legislative,relating to a legislature or composed of members of a legislature,governmental
legislative,relating to a legislature or composed of members of a legislature,political
legitimate,of marriages and offspring; recognized as lawful,valid
legitimate,of marriages and offspring; recognized as lawful,official
lengthy,relatively long in duration; tediously protracted,long
lesser,of less size or importance,secondary
lesser,of less size or importance,minor
lesser,of less size or importance,smaller
lesser,of less size or importance,inferior
lesser,of less size or importance,subordinate
level,"having a surface without slope, tilt in which no part is higher or lower than another",horizontal
lexical,of or relating to words,linguistic
lexical,of or relating to words,semantic
liable,at risk of or subject to experiencing something usually unpleasant,exposed
liable,at risk of or subject to experiencing something usually unpleasant,vulnerable
liable,at risk of or subject to experiencing something usually unpleasant,susceptible
liberal,"tolerant of change; not bound by authoritarianism, orthodoxy, or tradition",flexible
liberal,"tolerant of change; not bound by authoritarianism, orthodoxy, or tradition",open-minded
light,(used of color) having a relatively small amount of coloring agent,pale
light,characterized by or emitting light,illuminated
light,characterized by or emitting light,bright
light,characterized by or emitting light,radiant
like,resembling or similar; having the same or some of the same characteristics; often used in combination,analogous
likely,has a good chance of being the case or of coming about,possible
likely,has a good chance of being the case or of coming about,plausible
limited,small in range or scope,narrow
limited,small in range or scope,small
limited,small in range or scope,confined
limited,small in range or scope,restricted
linear,designating or involving an equation whose terms are of the first degree,algebraic
linguistic,consisting of or related to language,communicative
linguistic,consisting of or related to language,cognitive
liquid,existing as or having characteristics of a liquid; especially tending to flow,flowing
literary,of or relating to or characteristic of literature,cultural
literary,of or relating to or characteristic of literature,intellectual
literary,of or relating to or characteristic of literature,artistic
live,actually being performed at the time of hearing or viewing,current
live,actually being performed at the time of hearing or viewing,present
lively,full of life and energy,animated
lively,full of life and energy,energetic
lively,full of life and energy,spirited
lively,full of life and energy,vigorous
lively,full of life and energy,active
living,pertaining to living persons,human
local,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,regional
logical,capable of or reflecting the capability for correct and valid reasoning,sound
logical,capable of or reflecting the capability for correct and valid reasoning,rational
logical,capable of or reflecting the capability for correct and valid reasoning,reasonable
logical,capable of or reflecting the capability for correct and valid reasoning,valid
lone,lacking companions or companionship,unaccompanied
lone,lacking companions or companionship,isolated
lone,lacking companions or companionship,single
lonely,lacking companions or companionship,desolate
lonely,lacking companions or companionship,isolated
long-term,relating to or extending over a relatively long time,durable
long-term,relating to or extending over a relatively long time,extended
long-term,relating to or extending over a relatively long time,prolonged
long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,prolonged
long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified,extended
long,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,extensive
long,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,extended
long,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,large
lost,no longer in your possession or control; unable to be found or recovered,missing
lost,no longer in your possession or control; unable to be found or recovered,unavailable
lost,no longer in your possession or control; unable to be found or recovered,absent
